Time,Type,Size
0.0443222,Tx,66
0.0443222,Tx,66
0.0543222,Rx,66
0.0543222,Rx,66
0.15709,Tx,50
0.157442,Tx,66
0.157442,Tx,66
0.16709,Rx,50
0.167442,Rx,66
0.167442,Rx,66
0.417975,Tx,50
0.427975,Rx,50
2.07717,Tx,66
2.07717,Tx,66
2.08717,Rx,66
2.08717,Rx,66
2.1824,Tx,58
2.1924,Rx,58
2.23955,Tx,66
2.23955,Tx,66
2.24955,Rx,66
2.24955,Rx,66
2.26355,Tx,58
2.27355,Rx,58
4.00761,Tx,66
4.00761,Tx,66
4.01761,Rx,66
4.01761,Rx,66
4.05339,Tx,58
4.06339,Rx,58
4.18904,Tx,66
4.18904,Tx,66
4.19904,Rx,66
4.19904,Rx,66
4.20606,Tx,58
4.21606,Rx,58
5.06746,Tx,50
5.06746,Tx,50
5.07746,Rx,50
5.07746,Rx,50
5.35856,Tx,50
5.35856,Tx,50
5.36856,Rx,50
5.36856,Rx,50
6.00864,Tx,62
6.01864,Rx,62
6.19049,Tx,66
6.19049,Tx,66
6.20049,Rx,66
6.20049,Rx,66
6.32896,Tx,58
6.33896,Rx,58
6.48457,Tx,70
6.48457,Tx,70
6.49457,Rx,70
6.49457,Rx,70
8.22064,Tx,62
8.23064,Rx,62
8.23651,Tx,58
8.24651,Rx,58
8.39359,Tx,66
8.39359,Tx,66
8.39887,Tx,70
8.39887,Tx,70
8.40359,Rx,66
8.40359,Rx,66
8.40887,Rx,70
8.40887,Rx,70
10.1009,Tx,106
10.1009,Tx,106
10.1109,Rx,106
10.1109,Rx,106
10.2336,Tx,58
10.2436,Rx,58
10.2803,Tx,150
10.2803,Tx,150
10.2903,Rx,150
10.2903,Rx,150
10.3386,Tx,74
10.3386,Tx,74
10.3486,Rx,74
10.3486,Rx,74
10.4594,Tx,62
10.4694,Rx,62
